evidence_id,source_code,topic_code,topic_ko,line_no,evidence_keyword,modernized_takeaway,applies_to,extraction_status
classic-japyeongjeongsu|month_command,classic-japyeongjeongsu,month_command,월령,90,月令,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjeongsu|useful_god,classic-japyeongjeongsu,useful_god,용신,831,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjeongsu|pattern,classic-japyeongjeongsu,pattern,격국,211,格局,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjeongsu|climate,classic-japyeongjeongsu,climate,조후,6086,气候,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjeongsu|balance,classic-japyeongjeongsu,balance,중화/병약,533,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjeongsu|expression_guardrail,classic-japyeongjeongsu,expression_guardrail,표현/길흉,238,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeong-ohhaeng-yeonhae|month_command,classic-japyeong-ohhaeng-yeonhae,month_command,월령,114,月令,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeong-ohhaeng-yeonhae|useful_god,classic-japyeong-ohhaeng-yeonhae,useful_god,용신,4585,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeong-ohhaeng-yeonhae|pattern,classic-japyeong-ohhaeng-yeonhae,pattern,격국,3585,格局,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeong-ohhaeng-yeonhae|climate,classic-japyeong-ohhaeng-yeonhae,climate,조후,640,气候,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeong-ohhaeng-yeonhae|balance,classic-japyeong-ohhaeng-yeonhae,balance,중화/병약,318,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeong-ohhaeng-yeonhae|expression_guardrail,classic-japyeong-ohhaeng-yeonhae,expression_guardrail,표현/길흉,45,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gilhyung|month_command,classic-gilhyung,month_command,월령,48,吉,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gilhyung|useful_god,classic-gilhyung,useful_god,용신,9626,取用,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gilhyung|pattern,classic-gilhyung,pattern,격국,890,吉,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gilhyung|climate,classic-gilhyung,climate,조후,7552,寒,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gilhyung|balance,classic-gilhyung,balance,중화/병약,5780,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gilhyung|expression_guardrail,classic-gilhyung,expression_guardrail,표현/길흉,1207,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-yugi|month_command,classic-jeokcheonsu-yugi,month_command,월령,143,月令,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-yugi|useful_god,classic-jeokcheonsu-yugi,useful_god,용신,643,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-yugi|pattern,classic-jeokcheonsu-yugi,pattern,격국,1519,格局,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-yugi|climate,classic-jeokcheonsu-yugi,climate,조후,94,寒,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-yugi|balance,classic-jeokcheonsu-yugi,balance,중화/병약,89,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-yugi|expression_guardrail,classic-jeokcheonsu-yugi,expression_guardrail,표현/길흉,260,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-sammyeongtonghoe|month_command,classic-sammyeongtonghoe,month_command,월령,867,月令,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-sammyeongtonghoe|useful_god,classic-sammyeongtonghoe,useful_god,용신,1797,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-sammyeongtonghoe|pattern,classic-sammyeongtonghoe,pattern,격국,857,格局,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-sammyeongtonghoe|climate,classic-sammyeongtonghoe,climate,조후,21217,气候,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-sammyeongtonghoe|balance,classic-sammyeongtonghoe,balance,중화/병약,1683,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-sammyeongtonghoe|expression_guardrail,classic-sammyeongtonghoe,expression_guardrail,표현/길흉,324,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-jeongpan|month_command,classic-japyeongjinjeon-jeongpan,month_command,월령,271,月令,자평진전 계열의 월령용신과 격국 성패 축으로 연결,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-jeongpan|useful_god,classic-japyeongjinjeon-jeongpan,useful_god,용신,59,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-jeongpan|pattern,classic-japyeongjinjeon-jeongpan,pattern,격국,65,格局,자평진전 계열의 월령용신과 격국 성패 축으로 연결,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-jeongpan|climate,classic-japyeongjinjeon-jeongpan,climate,조후,68,气候,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-jeongpan|balance,classic-japyeongjinjeon-jeongpan,balance,중화/병약,1620,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-jeongpan|expression_guardrail,classic-japyeongjinjeon-jeongpan,expression_guardrail,표현/길흉,73,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-ohhaengdaeui|month_command,classic-ohhaengdaeui,month_command,월령,687,月令,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-ohhaengdaeui|useful_god,classic-ohhaengdaeui,useful_god,용신,33,五行,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-ohhaengdaeui|pattern,classic-ohhaengdaeui,pattern,격국,218,五行,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-ohhaengdaeui|climate,classic-ohhaengdaeui,climate,조후,1265,氣候,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-ohhaengdaeui|balance,classic-ohhaengdaeui,balance,중화/병약,838,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-ohhaengdaeui|expression_guardrail,classic-ohhaengdaeui,expression_guardrail,표현/길흉,226,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-baekhwa|month_command,classic-jeokcheonsu-baekhwa,month_command,월령,2628,月令,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-baekhwa|useful_god,classic-jeokcheonsu-baekhwa,useful_god,용신,196,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-baekhwa|pattern,classic-jeokcheonsu-baekhwa,pattern,격국,37,格局,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-baekhwa|climate,classic-jeokcheonsu-baekhwa,climate,조후,1237,气候,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-baekhwa|balance,classic-jeokcheonsu-baekhwa,balance,중화/병약,2093,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-baekhwa|expression_guardrail,classic-jeokcheonsu-baekhwa,expression_guardrail,표현/길흉,145,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-pyeongju|month_command,classic-japyeongjinjeon-pyeongju,month_command,월령,752,月令,자평진전 계열의 월령용신과 격국 성패 축으로 연결,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-pyeongju|useful_god,classic-japyeongjinjeon-pyeongju,useful_god,용신,56,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-pyeongju|pattern,classic-japyeongjinjeon-pyeongju,pattern,격국,62,格局,자평진전 계열의 월령용신과 격국 성패 축으로 연결,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-pyeongju|climate,classic-japyeongjinjeon-pyeongju,climate,조후,65,气候,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-pyeongju|balance,classic-japyeongjinjeon-pyeongju,balance,중화/병약,7674,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon-pyeongju|expression_guardrail,classic-japyeongjinjeon-pyeongju,expression_guardrail,표현/길흉,71,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-cheonmi|month_command,classic-jeokcheonsu-cheonmi,month_command,월령,88,五行,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-cheonmi|useful_god,classic-jeokcheonsu-cheonmi,useful_god,용신,275,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-cheonmi|pattern,classic-jeokcheonsu-cheonmi,pattern,격국,220,格局,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-cheonmi|climate,classic-jeokcheonsu-cheonmi,climate,조후,102,寒,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-cheonmi|balance,classic-jeokcheonsu-cheonmi,balance,중화/병약,94,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-jeokcheonsu-cheonmi|expression_guardrail,classic-jeokcheonsu-cheonmi,expression_guardrail,표현/길흉,187,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-yeonhaejapyeong|month_command,classic-yeonhaejapyeong,month_command,월령,1051,月令,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-yeonhaejapyeong|useful_god,classic-yeonhaejapyeong,useful_god,용신,1038,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-yeonhaejapyeong|pattern,classic-yeonhaejapyeong,pattern,격국,1211,格局,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-yeonhaejapyeong|climate,classic-yeonhaejapyeong,climate,조후,3463,氣候,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-yeonhaejapyeong|balance,classic-yeonhaejapyeong,balance,중화/병약,995,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-yeonhaejapyeong|expression_guardrail,classic-yeonhaejapyeong,expression_guardrail,표현/길흉,303,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
