template_code,gapja_code,day_pillar_hanja,day_pillar_ko,day_stem_code,day_branch_code,type_label_ko,one_line_summary,guardian_beast,zodiac_companion,male_asset_path,female_asset_path,profile_prompt_seed,source_tables
sin-sa_character_type,sin-sa,辛巳,신사,sin,sa,신사 디테일러,정교하게 다듬고 완성도를 높이는 타입. 뱀의 통찰 모티프가 보조된다,백호,뱀,combinations/mix_character/018_sin-sa_male.png,combinations/mix_character/018_sin-sa_female.png,보석;바늘 jewel;needle;white_silver with snake;warm_scale;wisdom_eye,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
im-o_character_type,im-o,壬午,임오,im,o,임오 전략가,큰 흐름을 읽고 판을 넓히는 타입. 말의 활력 모티프가 보조된다,현무,말,combinations/mix_character/019_im-o_male.png,combinations/mix_character/019_im-o_female.png,바다;큰강 ocean;wave_cloak;deep_blue with horse;midday_sun;flame_mane,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gye-mi_character_type,gye-mi,癸未,계미,gye,mi,계미 탐구자,조용히 관찰하고 깊게 파고드는 타입. 양의 포근함 모티프가 보조된다,현무,양,combinations/mix_character/020_gye-mi_male.png,combinations/mix_character/020_gye-mi_female.png,비;이슬;샘물 raindrop;mist;dark_blue with sheep;warm_field;soft_wool,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gap-sin_character_type,gap-sin,甲申,갑신,gap,sin,갑신 개척자,곧게 시작하고 길을 여는 타입. 원숭이의 학습 모티프가 보조된다,청룡,원숭이,combinations/mix_character/021_gap-sin_male.png,combinations/mix_character/021_gap-sin_female.png,큰나무;개척자 straight_tree;leader;green_robes with monkey;metal_branch;clever_pose,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
eul-yu_character_type,eul-yu,乙酉,을유,eul,yu,을유 조율가,부드럽게 연결하고 적응하는 타입. 닭의 정밀 모티프가 보조된다,청룡,닭,combinations/mix_character/022_eul-yu_male.png,combinations/mix_character/022_eul-yu_female.png,풀꽃;덩굴 flower_vine;soft_green;elegant with rooster;silver_feather;clock_sense,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
byeong-sul_character_type,byeong-sul,丙戌,병술,byeong,sul,병술 스포트라이터,밝게 드러내고 분위기를 여는 타입. 개의 충직 모티프가 보조된다,주작,개,combinations/mix_character/023_byeong-sul_male.png,combinations/mix_character/023_byeong-sul_female.png,태양;광명 sun;gold_red;wide_smile with dog;loyal_guard;warm_tail,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
jeong-hae_character_type,jeong-hae,丁亥,정해,jeong,hae,정해 집중가,작은 불씨를 오래 지키는 타입. 돼지의 포용 모티프가 보조된다,주작,돼지,combinations/mix_character/024_jeong-hae_male.png,combinations/mix_character/024_jeong-hae_female.png,촛불;별빛 candle;small_flame;scholar_lamp with pig;deep_water;rounded_form,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
mu-ja_character_type,mu-ja,戊子,무자,mu,ja,무자 중심축,흔들리지 않고 판을 받치는 타입. 쥐의 지혜 모티프가 보조된다,황룡,쥐,combinations/mix_character/025_mu-ja_male.png,combinations/mix_character/025_mu-ja_female.png,큰산;대지 mountain;earth_armor;steady_pose with small_rat;night_water;bright_eyes,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gi-chuk_character_type,gi-chuk,己丑,기축,gi,chuk,기축 케어테이커,세밀하게 돌보고 현실을 가꾸는 타입. 소의 인내 모티프가 보조된다,황룡,소,combinations/mix_character/026_gi-chuk_male.png,combinations/mix_character/026_gi-chuk_female.png,논밭;정원흙 garden_soil;warm_brown;caretaker with sturdy_ox;frozen_soil;gentle_horns,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gyeong-in_character_type,gyeong-in,庚寅,경인,gyeong,in,경인 결단가,기준을 세우고 빠르게 정리하는 타입. 호랑이의 추진 모티프가 보조된다,백호,호랑이,combinations/mix_character/027_gyeong-in_male.png,combinations/mix_character/027_gyeong-in_female.png,강철;큰칼 steel_blade;silver;warrior with tiger;spring_forest;dynamic_stripes,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
sin-myo_character_type,sin-myo,辛卯,신묘,sin,myo,신묘 디테일러,정교하게 다듬고 완성도를 높이는 타입. 토끼의 감성 모티프가 보조된다,백호,토끼,combinations/mix_character/028_sin-myo_male.png,combinations/mix_character/028_sin-myo_female.png,보석;바늘 jewel;needle;white_silver with rabbit;flower_field;soft_ears,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
im-jin_character_type,im-jin,壬辰,임진,im,jin,임진 전략가,큰 흐름을 읽고 판을 넓히는 타입. 용의 비전 모티프가 보조된다,현무,용,combinations/mix_character/029_im-jin_male.png,combinations/mix_character/029_im-jin_female.png,바다;큰강 ocean;wave_cloak;deep_blue with dragon;cloud_soil;pearl,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gye-sa_character_type,gye-sa,癸巳,계사,gye,sa,계사 탐구자,조용히 관찰하고 깊게 파고드는 타입. 뱀의 통찰 모티프가 보조된다,현무,뱀,combinations/mix_character/030_gye-sa_male.png,combinations/mix_character/030_gye-sa_female.png,비;이슬;샘물 raindrop;mist;dark_blue with snake;warm_scale;wisdom_eye,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gap-o_character_type,gap-o,甲午,갑오,gap,o,갑오 개척자,곧게 시작하고 길을 여는 타입. 말의 활력 모티프가 보조된다,청룡,말,combinations/mix_character/031_gap-o_male.png,combinations/mix_character/031_gap-o_female.png,큰나무;개척자 straight_tree;leader;green_robes with horse;midday_sun;flame_mane,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
eul-mi_character_type,eul-mi,乙未,을미,eul,mi,을미 조율가,부드럽게 연결하고 적응하는 타입. 양의 포근함 모티프가 보조된다,청룡,양,combinations/mix_character/032_eul-mi_male.png,combinations/mix_character/032_eul-mi_female.png,풀꽃;덩굴 flower_vine;soft_green;elegant with sheep;warm_field;soft_wool,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
byeong-sin_character_type,byeong-sin,丙申,병신,byeong,sin,병신 스포트라이터,밝게 드러내고 분위기를 여는 타입. 원숭이의 학습 모티프가 보조된다,주작,원숭이,combinations/mix_character/033_byeong-sin_male.png,combinations/mix_character/033_byeong-sin_female.png,태양;광명 sun;gold_red;wide_smile with monkey;metal_branch;clever_pose,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
jeong-yu_character_type,jeong-yu,丁酉,정유,jeong,yu,정유 집중가,작은 불씨를 오래 지키는 타입. 닭의 정밀 모티프가 보조된다,주작,닭,combinations/mix_character/034_jeong-yu_male.png,combinations/mix_character/034_jeong-yu_female.png,촛불;별빛 candle;small_flame;scholar_lamp with rooster;silver_feather;clock_sense,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
mu-sul_character_type,mu-sul,戊戌,무술,mu,sul,무술 중심축,흔들리지 않고 판을 받치는 타입. 개의 충직 모티프가 보조된다,황룡,개,combinations/mix_character/035_mu-sul_male.png,combinations/mix_character/035_mu-sul_female.png,큰산;대지 mountain;earth_armor;steady_pose with dog;loyal_guard;warm_tail,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gi-hae_character_type,gi-hae,己亥,기해,gi,hae,기해 케어테이커,세밀하게 돌보고 현실을 가꾸는 타입. 돼지의 포용 모티프가 보조된다,황룡,돼지,combinations/mix_character/036_gi-hae_male.png,combinations/mix_character/036_gi-hae_female.png,논밭;정원흙 garden_soil;warm_brown;caretaker with pig;deep_water;rounded_form,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gyeong-ja_character_type,gyeong-ja,庚子,경자,gyeong,ja,경자 결단가,기준을 세우고 빠르게 정리하는 타입. 쥐의 지혜 모티프가 보조된다,백호,쥐,combinations/mix_character/037_gyeong-ja_male.png,combinations/mix_character/037_gyeong-ja_female.png,강철;큰칼 steel_blade;silver;warrior with small_rat;night_water;bright_eyes,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
sin-chuk_character_type,sin-chuk,辛丑,신축,sin,chuk,신축 디테일러,정교하게 다듬고 완성도를 높이는 타입. 소의 인내 모티프가 보조된다,백호,소,combinations/mix_character/038_sin-chuk_male.png,combinations/mix_character/038_sin-chuk_female.png,보석;바늘 jewel;needle;white_silver with sturdy_ox;frozen_soil;gentle_horns,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
im-in_character_type,im-in,壬寅,임인,im,in,임인 전략가,큰 흐름을 읽고 판을 넓히는 타입. 호랑이의 추진 모티프가 보조된다,현무,호랑이,combinations/mix_character/039_im-in_male.png,combinations/mix_character/039_im-in_female.png,바다;큰강 ocean;wave_cloak;deep_blue with tiger;spring_forest;dynamic_stripes,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gye-myo_character_type,gye-myo,癸卯,계묘,gye,myo,계묘 탐구자,조용히 관찰하고 깊게 파고드는 타입. 토끼의 감성 모티프가 보조된다,현무,토끼,combinations/mix_character/040_gye-myo_male.png,combinations/mix_character/040_gye-myo_female.png,비;이슬;샘물 raindrop;mist;dark_blue with rabbit;flower_field;soft_ears,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gap-jin_character_type,gap-jin,甲辰,갑진,gap,jin,갑진 개척자,곧게 시작하고 길을 여는 타입. 용의 비전 모티프가 보조된다,청룡,용,combinations/mix_character/041_gap-jin_male.png,combinations/mix_character/041_gap-jin_female.png,큰나무;개척자 straight_tree;leader;green_robes with dragon;cloud_soil;pearl,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
eul-sa_character_type,eul-sa,乙巳,을사,eul,sa,을사 조율가,부드럽게 연결하고 적응하는 타입. 뱀의 통찰 모티프가 보조된다,청룡,뱀,combinations/mix_character/042_eul-sa_male.png,combinations/mix_character/042_eul-sa_female.png,풀꽃;덩굴 flower_vine;soft_green;elegant with snake;warm_scale;wisdom_eye,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
byeong-o_character_type,byeong-o,丙午,병오,byeong,o,병오 스포트라이터,밝게 드러내고 분위기를 여는 타입. 말의 활력 모티프가 보조된다,주작,말,combinations/mix_character/043_byeong-o_male.png,combinations/mix_character/043_byeong-o_female.png,태양;광명 sun;gold_red;wide_smile with horse;midday_sun;flame_mane,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
jeong-mi_character_type,jeong-mi,丁未,정미,jeong,mi,정미 집중가,작은 불씨를 오래 지키는 타입. 양의 포근함 모티프가 보조된다,주작,양,combinations/mix_character/044_jeong-mi_male.png,combinations/mix_character/044_jeong-mi_female.png,촛불;별빛 candle;small_flame;scholar_lamp with sheep;warm_field;soft_wool,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
mu-sin_character_type,mu-sin,戊申,무신,mu,sin,무신 중심축,흔들리지 않고 판을 받치는 타입. 원숭이의 학습 모티프가 보조된다,황룡,원숭이,combinations/mix_character/045_mu-sin_male.png,combinations/mix_character/045_mu-sin_female.png,큰산;대지 mountain;earth_armor;steady_pose with monkey;metal_branch;clever_pose,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gi-yu_character_type,gi-yu,己酉,기유,gi,yu,기유 케어테이커,세밀하게 돌보고 현실을 가꾸는 타입. 닭의 정밀 모티프가 보조된다,황룡,닭,combinations/mix_character/046_gi-yu_male.png,combinations/mix_character/046_gi-yu_female.png,논밭;정원흙 garden_soil;warm_brown;caretaker with rooster;silver_feather;clock_sense,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gyeong-sul_character_type,gyeong-sul,庚戌,경술,gyeong,sul,경술 결단가,기준을 세우고 빠르게 정리하는 타입. 개의 충직 모티프가 보조된다,백호,개,combinations/mix_character/047_gyeong-sul_male.png,combinations/mix_character/047_gyeong-sul_female.png,강철;큰칼 steel_blade;silver;warrior with dog;loyal_guard;warm_tail,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
sin-hae_character_type,sin-hae,辛亥,신해,sin,hae,신해 디테일러,정교하게 다듬고 완성도를 높이는 타입. 돼지의 포용 모티프가 보조된다,백호,돼지,combinations/mix_character/048_sin-hae_male.png,combinations/mix_character/048_sin-hae_female.png,보석;바늘 jewel;needle;white_silver with pig;deep_water;rounded_form,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
im-ja_character_type,im-ja,壬子,임자,im,ja,임자 전략가,큰 흐름을 읽고 판을 넓히는 타입. 쥐의 지혜 모티프가 보조된다,현무,쥐,combinations/mix_character/049_im-ja_male.png,combinations/mix_character/049_im-ja_female.png,바다;큰강 ocean;wave_cloak;deep_blue with small_rat;night_water;bright_eyes,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gye-chuk_character_type,gye-chuk,癸丑,계축,gye,chuk,계축 탐구자,조용히 관찰하고 깊게 파고드는 타입. 소의 인내 모티프가 보조된다,현무,소,combinations/mix_character/050_gye-chuk_male.png,combinations/mix_character/050_gye-chuk_female.png,비;이슬;샘물 raindrop;mist;dark_blue with sturdy_ox;frozen_soil;gentle_horns,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gap-in_character_type,gap-in,甲寅,갑인,gap,in,갑인 개척자,곧게 시작하고 길을 여는 타입. 호랑이의 추진 모티프가 보조된다,청룡,호랑이,combinations/mix_character/051_gap-in_male.png,combinations/mix_character/051_gap-in_female.png,큰나무;개척자 straight_tree;leader;green_robes with tiger;spring_forest;dynamic_stripes,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
eul-myo_character_type,eul-myo,乙卯,을묘,eul,myo,을묘 조율가,부드럽게 연결하고 적응하는 타입. 토끼의 감성 모티프가 보조된다,청룡,토끼,combinations/mix_character/052_eul-myo_male.png,combinations/mix_character/052_eul-myo_female.png,풀꽃;덩굴 flower_vine;soft_green;elegant with rabbit;flower_field;soft_ears,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
byeong-jin_character_type,byeong-jin,丙辰,병진,byeong,jin,병진 스포트라이터,밝게 드러내고 분위기를 여는 타입. 용의 비전 모티프가 보조된다,주작,용,combinations/mix_character/053_byeong-jin_male.png,combinations/mix_character/053_byeong-jin_female.png,태양;광명 sun;gold_red;wide_smile with dragon;cloud_soil;pearl,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
jeong-sa_character_type,jeong-sa,丁巳,정사,jeong,sa,정사 집중가,작은 불씨를 오래 지키는 타입. 뱀의 통찰 모티프가 보조된다,주작,뱀,combinations/mix_character/054_jeong-sa_male.png,combinations/mix_character/054_jeong-sa_female.png,촛불;별빛 candle;small_flame;scholar_lamp with snake;warm_scale;wisdom_eye,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
mu-o_character_type,mu-o,戊午,무오,mu,o,무오 중심축,흔들리지 않고 판을 받치는 타입. 말의 활력 모티프가 보조된다,황룡,말,combinations/mix_character/055_mu-o_male.png,combinations/mix_character/055_mu-o_female.png,큰산;대지 mountain;earth_armor;steady_pose with horse;midday_sun;flame_mane,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gi-mi_character_type,gi-mi,己未,기미,gi,mi,기미 케어테이커,세밀하게 돌보고 현실을 가꾸는 타입. 양의 포근함 모티프가 보조된다,황룡,양,combinations/mix_character/056_gi-mi_male.png,combinations/mix_character/056_gi-mi_female.png,논밭;정원흙 garden_soil;warm_brown;caretaker with sheep;warm_field;soft_wool,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gyeong-sin_character_type,gyeong-sin,庚申,경신,gyeong,sin,경신 결단가,기준을 세우고 빠르게 정리하는 타입. 원숭이의 학습 모티프가 보조된다,백호,원숭이,combinations/mix_character/057_gyeong-sin_male.png,combinations/mix_character/057_gyeong-sin_female.png,강철;큰칼 steel_blade;silver;warrior with monkey;metal_branch;clever_pose,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
sin-yu_character_type,sin-yu,辛酉,신유,sin,yu,신유 디테일러,정교하게 다듬고 완성도를 높이는 타입. 닭의 정밀 모티프가 보조된다,백호,닭,combinations/mix_character/058_sin-yu_male.png,combinations/mix_character/058_sin-yu_female.png,보석;바늘 jewel;needle;white_silver with rooster;silver_feather;clock_sense,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
im-sul_character_type,im-sul,壬戌,임술,im,sul,임술 전략가,큰 흐름을 읽고 판을 넓히는 타입. 개의 충직 모티프가 보조된다,현무,개,combinations/mix_character/059_im-sul_male.png,combinations/mix_character/059_im-sul_female.png,바다;큰강 ocean;wave_cloak;deep_blue with dog;loyal_guard;warm_tail,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gye-hae_character_type,gye-hae,癸亥,계해,gye,hae,계해 탐구자,조용히 관찰하고 깊게 파고드는 타입. 돼지의 포용 모티프가 보조된다,현무,돼지,combinations/mix_character/060_gye-hae_male.png,combinations/mix_character/060_gye-hae_female.png,비;이슬;샘물 raindrop;mist;dark_blue with pig;deep_water;rounded_form,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
