field_key,module,ko_name,input_dependencies,output_type,description,source_tables,source_ref
classical_ocr_quality,classical,고전 OCR 품질,classical_sources,object,고전별 라인 수 CJK 라인 의심 라인 비율을 계산해 검수 우선순위를 정한다,classical-ocr-quality.csv;literature-sources.csv,/명리학/고전
modern_ganji_profile,modern,현대 간지 프로필,four_pillars;eight_characters,object,천간 지지 60갑자를 초보자가 읽을 수 있는 현대어 성향 요약으로 변환한다,modern-principles.csv;modern-analysis-modules.csv;gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv,/명리학/현대
modern_ten_god_social_profile,modern,현대 십신 사회관계,ten_god_profile;pillar_positions,object,십신을 재물 명예 가족 직업 관계 욕구 같은 사회적 역할 언어로 설명한다,modern-principles.csv;modern-analysis-modules.csv;ten-god-rules.csv;ten-god-traits.csv,/명리학/현대
modern_event_trigger_profile,modern,현대 사건 트리거,heavenly_relationships;branch_relationships;hidden_stems,object,합충형파해 충출 삼형을 변화 압력 활성 조건 대응 포인트로 설명한다,modern-principles.csv;modern-analysis-modules.csv;earthly-branch-relationships.csv;hidden-stems.csv,/명리학/현대
modern_consultation_guidance,modern,현대 상담형 조언,pattern_assessment;modern_ten_god_social_profile;modern_event_trigger_profile,object,직업 재물 관계 결혼 갈등 법적 이슈 같은 실제 상담 질문으로 결과를 연결한다,modern-principles.csv;modern-analysis-modules.csv;modern-design-coverage.csv;special-star-rules.csv,/명리학/현대
modern_learning_explainer,modern,현대 학습형 해설,all_analysis_outputs,object,전문 용어를 한글 현대어 설명과 단계형 학습 흐름으로 풀어 쓴다,modern-principles.csv;modern-analysis-modules.csv;modern-evidence-index.csv;saju-foundations.csv,/명리학/현대
public_figure_match_candidates,matching,공개 인물 궁합 후보,user_chart;public_figure_saju_seeds,list,유저 명식과 공개 인물 시드 데이터를 비교해 후보와 데이터 품질 직업군 플래그를 반환한다,public-figure-saju-seeds.csv;public-figure-occupation-enrichment.csv;public-figure-saju-source-metrics.csv;gapja-combinations.csv,/public-figures
public_figure_compatibility_profile,matching,공개 인물 궁합 프로필,user_chart;public_figure_match_candidates,object,일간 오행 십신 지지관계 12운성 12신살 보완오행 직업군 필터 기준으로 좋고 어려운 지점을 분리한다,public-figure-saju-seeds.csv;public-figure-occupation-enrichment.csv;ten-god-stem-map.csv;earthly-branch-relationships.csv;twelve-life-stage-map.csv;twelve-shinsal-rules.csv,/public-figures
public_figure_match_explanation,matching,공개 인물 매칭 현대어 설명,public_figure_compatibility_profile,object,20대 사용자가 이해하기 쉬운 좋은 점 어려운 점 관계 느낌 주의 문구로 궁합을 설명한다,public-figure-saju-seeds.csv;modern-principles.csv;modern-analysis-modules.csv,/public-figures
character_type_profile,character,사주 캐릭터 타입,user_chart;day_master;day_pillar,object,일간과 일주를 기준으로 대표 캐릭터 타입 신수 동물 모티프 성향 태그를 생성한다,character-archetypes.csv;character-type-templates.csv;gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv,/character-types
character_profile_card,character,공유용 캐릭터 프로필 카드,character_type_profile;gapja_asset_selection,object,이등신 캐릭터 대표 신수 동물 동반자 한 줄 성향을 카드형 이미지 프롬프트로 구성한다,character-type-templates.csv;character-type-modifiers.csv;gapja-assets.csv;analysis-output-fields.csv,/character-types
character_growth_quests,character,오행 성장 퀘스트,element_balance;useful_god_candidates;character_type_profile,list,부족하거나 보완할 오행을 일상 루틴형 성장 퀘스트로 변환한다,character-growth-quests.csv;character-type-modifiers.csv;elements.csv;modern-principles.csv,/character-types
manse_four_pillars,manse,만세력 사주 네 기둥,birth_datetime;location;calendar_type,object,입춘 절기 월령 일진 시주 규칙으로 네 기둥을 산출하고 품질 플래그를 남긴다,manse-calculation-rules.csv;solar-term-month-boundaries.csv;month-stem-start-rules.csv;hour-stem-start-rules.csv;gapja-combinations.csv,/manse
manse_luck_cycles,manse,대운 세운 흐름,four_pillars;birth_gender;solar_terms,object,대운 방향 시작시기 세운 월운을 산출할 계약을 정의한다,luck-cycle-rules.csv;gapja-combinations.csv;classical-analysis-modules.csv,/manse
manse_calculation_quality,manse,만세력 계산 품질,manse_four_pillars;source_birth_data,object,입춘 경계 출생시 불명 절기엔진 미검증 같은 품질 플래그를 제공한다,manse-calculation-rules.csv;public-figure-saju-source-metrics.csv,/manse
compatibility_score_profile,compatibility,궁합 점수 프로필,user_chart;partner_chart,object,일간 지지 오행 십신 합충형 데이터품질을 가중해 좋은 점 어려운 점으로 분리한다,compatibility-feature-weights.csv;compatibility-scoring-rules.csv;earthly-branch-relationships.csv;heavenly-stem-relationships.csv,/compatibility
compatibility_explanation_cards,compatibility,궁합 설명 카드,compatibility_score_profile,object,20대 사용자가 이해할 수 있는 관계 느낌 매칭 근거 주의 문구를 생성한다,compatibility-output-templates.csv;modern-principles.csv;modern-analysis-modules.csv,/compatibility
