cycle_no,gapja_code,ko_name,hanja_name,stem_code,stem_ko,stem_hanja,stem_element,stem_yinyang,branch_code,branch_ko,branch_hanja,branch_animal,branch_element,branch_yinyang,male_output,female_output,status
27,gyeong-in,경인,庚寅,gyeong,경,庚,금(金),양,in,인,寅,호랑이,목(木),양,combinations/mix_character/027_gyeong-in_male.png,combinations/mix_character/027_gyeong-in_female.png,generated
28,sin-myo,신묘,辛卯,sin,신,辛,금(金),음,myo,묘,卯,토끼,목(木),음,combinations/mix_character/028_sin-myo_male.png,combinations/mix_character/028_sin-myo_female.png,generated
29,im-jin,임진,壬辰,im,임,壬,수(水),양,jin,진,辰,용,토(土),양,combinations/mix_character/029_im-jin_male.png,combinations/mix_character/029_im-jin_female.png,generated
30,gye-sa,계사,癸巳,gye,계,癸,수(水),음,sa,사,巳,뱀,화(火),음,combinations/mix_character/030_gye-sa_male.png,combinations/mix_character/030_gye-sa_female.png,generated
31,gap-o,갑오,甲午,gap,갑,甲,목(木),양,o,오,午,말,화(火),양,combinations/mix_character/031_gap-o_male.png,combinations/mix_character/031_gap-o_female.png,generated
32,eul-mi,을미,乙未,eul,을,乙,목(木),음,mi,미,未,양,토(土),음,combinations/mix_character/032_eul-mi_male.png,combinations/mix_character/032_eul-mi_female.png,generated
33,byeong-sin,병신,丙申,byeong,병,丙,화(火),양,sin,신,申,원숭이,금(金),양,combinations/mix_character/033_byeong-sin_male.png,combinations/mix_character/033_byeong-sin_female.png,generated
34,jeong-yu,정유,丁酉,jeong,정,丁,화(火),음,yu,유,酉,닭,금(金),음,combinations/mix_character/034_jeong-yu_male.png,combinations/mix_character/034_jeong-yu_female.png,generated
35,mu-sul,무술,戊戌,mu,무,戊,토(土),양,sul,술,戌,개,토(土),양,combinations/mix_character/035_mu-sul_male.png,combinations/mix_character/035_mu-sul_female.png,generated
36,gi-hae,기해,己亥,gi,기,己,토(土),음,hae,해,亥,돼지,수(水),음,combinations/mix_character/036_gi-hae_male.png,combinations/mix_character/036_gi-hae_female.png,generated
37,gyeong-ja,경자,庚子,gyeong,경,庚,금(金),양,ja,자,子,쥐,수(水),양,combinations/mix_character/037_gyeong-ja_male.png,combinations/mix_character/037_gyeong-ja_female.png,generated
38,sin-chuk,신축,辛丑,sin,신,辛,금(金),음,chuk,축,丑,소,토(土),음,combinations/mix_character/038_sin-chuk_male.png,combinations/mix_character/038_sin-chuk_female.png,generated
39,im-in,임인,壬寅,im,임,壬,수(水),양,in,인,寅,호랑이,목(木),양,combinations/mix_character/039_im-in_male.png,combinations/mix_character/039_im-in_female.png,generated
40,gye-myo,계묘,癸卯,gye,계,癸,수(水),음,myo,묘,卯,토끼,목(木),음,combinations/mix_character/040_gye-myo_male.png,combinations/mix_character/040_gye-myo_female.png,generated
41,gap-jin,갑진,甲辰,gap,갑,甲,목(木),양,jin,진,辰,용,토(土),양,combinations/mix_character/041_gap-jin_male.png,combinations/mix_character/041_gap-jin_female.png,generated
42,eul-sa,을사,乙巳,eul,을,乙,목(木),음,sa,사,巳,뱀,화(火),음,combinations/mix_character/042_eul-sa_male.png,combinations/mix_character/042_eul-sa_female.png,generated
43,byeong-o,병오,丙午,byeong,병,丙,화(火),양,o,오,午,말,화(火),양,combinations/mix_character/043_byeong-o_male.png,combinations/mix_character/043_byeong-o_female.png,generated
44,jeong-mi,정미,丁未,jeong,정,丁,화(火),음,mi,미,未,양,토(土),음,combinations/mix_character/044_jeong-mi_male.png,combinations/mix_character/044_jeong-mi_female.png,generated
45,mu-sin,무신,戊申,mu,무,戊,토(土),양,sin,신,申,원숭이,금(金),양,combinations/mix_character/045_mu-sin_male.png,combinations/mix_character/045_mu-sin_female.png,generated
46,gi-yu,기유,己酉,gi,기,己,토(土),음,yu,유,酉,닭,금(金),음,combinations/mix_character/046_gi-yu_male.png,combinations/mix_character/046_gi-yu_female.png,generated
47,gyeong-sul,경술,庚戌,gyeong,경,庚,금(金),양,sul,술,戌,개,토(土),양,combinations/mix_character/047_gyeong-sul_male.png,combinations/mix_character/047_gyeong-sul_female.png,generated
48,sin-hae,신해,辛亥,sin,신,辛,금(金),음,hae,해,亥,돼지,수(水),음,combinations/mix_character/048_sin-hae_male.png,combinations/mix_character/048_sin-hae_female.png,generated
49,im-ja,임자,壬子,im,임,壬,수(水),양,ja,자,子,쥐,수(水),양,combinations/mix_character/049_im-ja_male.png,combinations/mix_character/049_im-ja_female.png,generated
50,gye-chuk,계축,癸丑,gye,계,癸,수(水),음,chuk,축,丑,소,토(土),음,combinations/mix_character/050_gye-chuk_male.png,combinations/mix_character/050_gye-chuk_female.png,generated
51,gap-in,갑인,甲寅,gap,갑,甲,목(木),양,in,인,寅,호랑이,목(木),양,combinations/mix_character/051_gap-in_male.png,combinations/mix_character/051_gap-in_female.png,generated
52,eul-myo,을묘,乙卯,eul,을,乙,목(木),음,myo,묘,卯,토끼,목(木),음,combinations/mix_character/052_eul-myo_male.png,combinations/mix_character/052_eul-myo_female.png,generated
53,byeong-jin,병진,丙辰,byeong,병,丙,화(火),양,jin,진,辰,용,토(土),양,combinations/mix_character/053_byeong-jin_male.png,combinations/mix_character/053_byeong-jin_female.png,generated
54,jeong-sa,정사,丁巳,jeong,정,丁,화(火),음,sa,사,巳,뱀,화(火),음,combinations/mix_character/054_jeong-sa_male.png,combinations/mix_character/054_jeong-sa_female.png,generated
55,mu-o,무오,戊午,mu,무,戊,토(土),양,o,오,午,말,화(火),양,combinations/mix_character/055_mu-o_male.png,combinations/mix_character/055_mu-o_female.png,generated
56,gi-mi,기미,己未,gi,기,己,토(土),음,mi,미,未,양,토(土),음,combinations/mix_character/056_gi-mi_male.png,combinations/mix_character/056_gi-mi_female.png,generated
57,gyeong-sin,경신,庚申,gyeong,경,庚,금(金),양,sin,신,申,원숭이,금(金),양,combinations/mix_character/057_gyeong-sin_male.png,combinations/mix_character/057_gyeong-sin_female.png,generated
58,sin-yu,신유,辛酉,sin,신,辛,금(金),음,yu,유,酉,닭,금(金),음,combinations/mix_character/058_sin-yu_male.png,combinations/mix_character/058_sin-yu_female.png,generated
59,im-sul,임술,壬戌,im,임,壬,수(水),양,sul,술,戌,개,토(土),양,combinations/mix_character/059_im-sul_male.png,combinations/mix_character/059_im-sul_female.png,generated
60,gye-hae,계해,癸亥,gye,계,癸,수(水),음,hae,해,亥,돼지,수(水),음,combinations/mix_character/060_gye-hae_male.png,combinations/mix_character/060_gye-hae_female.png,generated
