hexagram_id,sequence,name_zh,name_ko,lower_trigram_id,upper_trigram_id,binary_bottom_to_top,unicode,part,judgment_text,judgment_translation,tuan_text,tuan_translation,great_image_text,great_image_translation,source_note,external_legge_url
11,11,泰,태,1,8,111000,䷊,상경,泰：小往大來，吉亨。,태(泰)는 소왕대래 길형(小往大來，吉亨) 태는 작은바가 가고 큰바가 온다. 길하고 형통하다.,泰，小往大來，吉亨。則是天地交而萬物通也，上下交而其志同也。內陽而外陰，內健而外順，內君子而外小人，君子道長，小人道消也。,"태(泰)는 작은 것이 가고 큰 것이 온다. 길하고 형통하다. 이는 하늘과 땅이 사귀어 만물이 통하고, 위아래가 사귀어 그 뜻이 같기 때문이다. 안은 양이고 밖은 음이며, 안은 굳세고 밖은 유순하며, 안은 군자이고 밖은 소인이다. 군자의 도가 자라고 소인의 도가 사라진다.",天地交，泰；后以財成天地之道，輔相天地之宜，以左右民。,"하늘과 땅이 사귐이 태괘이니, 임금이 이를 본받아 천지의 도를 이루고 천지의 마땅함을 도와 백성을 돕는다.",01_경문_64괘/011_태_泰.md,https://baharna.com/iching/legge/111000.htm
12,12,否,비,8,1,000111,䷋,상경,否之匪人，不利君子貞，大往小來。,비(否)는 지비인 불리군자정 대왕소래(之匪人，不利君子貞，大往小來) 비(否)는 사람이 아닐 비(否)이다. 군자가 바름은 이익때문이 아니다. 큰것이 가고 적은것이 온다.,否之匪人，不利君子貞，大往小來。則是天地不交而萬物不通也，上下不交而天下无邦也。內陰而外陽，內柔而外剛，內小人而外君子，小人道長，君子道消也。,"비(否)는 사람이 아니니, 군자가 바르게 함이 이롭지 않고, 큰 것이 가고 작은 것이 온다. 이는 하늘과 땅이 사귀지 않아 만물이 통하지 않고, 위아래가 사귀지 않아 천하에 나라가 없게 되는 것이다. 안은 음이고 밖은 양이며, 안은 유하고 밖은 강하며, 안은 소인이고 밖은 군자다. 소인의 도가 자라고 군자의 도가 사라진다.",天地不交，否；君子以儉德辟難，不可榮以祿。,"하늘과 땅이 사귀지 않음이 비괘이니, 군자가 이를 본받아 덕을 검소히 하여 환난을 피하고, 녹으로 영화로울 수 없음을 안다.",01_경문_64괘/012_비_否.md,https://baharna.com/iching/legge/000111.htm
13,13,同人,동인,3,1,101111,䷌,상경,同人于野，亨。 利涉大川，利君子貞。,동인(同人) 우야 형 이섭대천 이군자정(于野，亨. 利涉大川，利君子貞) 야(野)에서 동인을 만나다. 형통하다. 큰강을건너도 이롭다. 군자가 바르니 이롭다.,同人，柔得位得中，而應乎乾，曰同人。同人曰，同人于野，亨。利涉大川，乾行也。文明以健，中正而應，君子正也。唯君子為能通天下之志。,"동인(同人)은 유(음)가 자리를 얻고 가운데를 얻어 건(乾)에 응하니 동인이라 한다. 동인은 들판에서 사람과 함께함이니, 형통하다. 큰 강을 건넘이 이로운 것은, 건이 행하기 때문이다. 문명하고 굳세며, 중정하여 응하니 군자의 바름이다. 오직 군자만이 천하의 뜻을 통하게 할 수 있다.",天與火，同人；君子以類族辨物。,"하늘과 불이 함께함이 동인괘이니, 군자가 이를 본받아 무리를 나누고 사물을 분별한다.",01_경문_64괘/013_동인_同人.md,https://baharna.com/iching/legge/101111.htm
14,14,大有,대유,1,3,111101,䷍,상경,大有：元亨。,대유(大有) 원형(元亨) 대유는 본디 형통한바이다.,大有，柔得尊位，大中而上下應之，曰大有。其德剛健而文明，應乎天而時行，是以元亨。,"대유(大有)는 유(음)가 존귀한 자리를 얻어 크게 가운데 있고 위아래가 응하니 대유라 한다. 그 덕이 강건하고 문명하며, 하늘에 응하여 때에 맞춰 행하니, 이로써 크게 형통한다.",火在天上，大有；君子以遏惡揚善，順天休命。,"불이 하늘 위에 있음이 대유괘이니, 군자가 이를 본받아 악을 막고 선을 드날려 하늘의 아름다운 명을 따른다.",01_경문_64괘/014_대유_大有.md,https://baharna.com/iching/legge/111101.htm
15,15,謙,겸,7,8,001000,䷎,상경,謙：亨，君子有終。,겸(謙) 형(亨) 군자유종(君子有終) 겸은 형통한다. 군자는 결과가 있다.,謙，亨，天道下濟而光明，地道卑而上行。天道虧盈而益謙，地道變盈而流謙，鬼神害盈而福謙，人道惡盈而好謙。謙尊而光，卑而不可逾，君子之終也。,"겸(謙)은 형통하다. 천도는 아래로 내려와 도우며 빛나고, 지도는 낮은 데서 위로 올라간다. 천도는 가득 찬 것을 이지러지게 하고 겸손한 것을 더하며, 지도는 가득 찬 것을 바꾸어 겸손한 데로 흐르게 하고, 귀신은 가득 찬 것을 해치고 겸손한 것을 복되게 하며, 인도는 가득 찬 것을 미워하고 겸손한 것을 좋아한다. 겸손은 존귀하여 빛나고, 낮아도 넘을 수 없으니, 군자의 마침이다.",地中有山，謙；君子以裒多益寡，稱物平施。,"땅 가운데 산이 있음이 겸괘이니, 군자가 이를 본받아 많은 것을 덜어 적은 것을 더하고, 사물을 헤아려 고르게 베푼다.",01_경문_64괘/015_겸_謙.md,https://baharna.com/iching/legge/001000.htm
16,16,豫,예,8,4,000100,䷏,상경,豫：利建侯行師。,예(豫) 이건후행사(利建侯行師) 예는 제후를 세우고 군사를 행함이 이롭다.,豫，剛應而志行，順以動，豫。豫，順以動，故天地如之，而況建侯行師乎？天地以順動，故日月不過，而四時不忒；聖人以順動，則刑罰清而民服。豫之時義大矣哉！,"예(豫)는 강이 응하여 뜻이 행해지고, 순하게 움직이니 예(즐거움)다. 예는 순하게 움직이므로 천지도 이를 따르니, 하물며 제후를 세우고 군대를 행함이랴. 천지가 순함으로 움직이므로 해와 달이 어긋나지 않고 사시가 어긋나지 않는다. 성인이 순함으로 움직이면 형벌이 맑아지고 백성이 복종한다. 예의 때의 뜻이 크도다!",雷出地奮，豫。先王以作樂崇德，殷薦之上帝，以配祖考。,"우레가 땅에서 나와 떨침이 예괘니, 선왕이 이를 본받아 음악을 지어 덕을 높이고, 두텁게 상제에게 드려 조상에게 짝한다.",01_경문_64괘/016_예_豫.md,https://baharna.com/iching/legge/000100.htm
17,17,隨,수,4,2,100110,䷐,상경,隨：元亨。利貞。无咎。,수(隨) 원형 이정 무구(元亨，利貞，无咎) 수는 본디 형통하고 바르면 이롭고 허물이없다.,隨，剛來而下柔，動而說，隨。大亨貞，无咎，而天下隨時，隨之時義大矣哉！,"수(隨)는 강이 와서 유 아래에 있고, 움직여 기쁘니 따른다. 크게 형통하고 바르면 허물이 없으며, 천하가 때를 따른다. 수의 때의 뜻이 크도다!",澤中有雷，隨；君子以嚮晦入宴息。,"못 가운데 우레가 있음이 수괘이니, 군자가 이를 본받아 해 질 무렵에 들어가 편안히 쉰다.",01_경문_64괘/017_수_隨.md,https://baharna.com/iching/legge/100110.htm
18,18,蠱,고,5,7,011001,䷑,상경,蠱：元亨。利涉大川。先甲三日，後甲三日。,고(蠱) 원형 이섭대천 선갑삼일 후갑삼일 (元亨，利涉大川。先甲三日，後甲三日) 고는 본디 형통한다. 큰강을 건넘에 이롭다. 입제(立制)는 시행에 앞서 수일을 두고 폐함있어 후에 수일을 둔다.,蠱，剛上而柔下，巽而止，蠱。蠱，元亨，而天下治也。利涉大川，往有事也。先甲三日，後甲三日，終則有始，天行也。,"고(蠱)는 강이 위에 있고 유가 아래에 있어, 유순하고 그치니 고다. 고는 크게 형통하여 천하가 다스려진다. 큰 강을 건넘이 이로운 것은, 가면 일이 있기 때문이다. 먼저 갑(甲) 사흘, 뒤에 갑 사흘은, 끝이 있으면 다시 시작됨이니, 하늘의 운행이다.",山下有風，蠱；君子以振民育德。,"산 아래 바람이 있음이 고괘이니, 군자가 이를 본받아 백성을 떨쳐 일으키고 덕을 기른다.",01_경문_64괘/018_고_蠱.md,https://baharna.com/iching/legge/011001.htm
19,19,臨,임,2,8,110000,䷒,상경,臨：元亨。利貞。至于八月有凶。,임(臨) 원형 이정(元亨，利貞) 지우팔월유흉(至于八月有凶) 임은 본디 형통하다. 바름이 이롭다. 팔월이 되어 근심이 있다.,臨，剛浸而長。說而順，剛中而應，大亨以正，天之道也。至于八月有凶，消不久也。,"임(臨)은 강이 차츰 자란다. 기쁘고 순하며, 강이 가운데 있어 응하니, 바름으로 크게 형통함은 하늘의 도다. 팔월에 이르러 흉함이 있음은, 사라짐이 오래가지 않기 때문이다.",澤上有地，臨；君子以教思无窮，容保民无疆。,"못 위에 땅이 있음이 임괘이니, 군자가 이를 본받아 가르침과 생각을 다함이 없이 하고, 백성을 포용하여 보존함을 끝없이 한다.",01_경문_64괘/019_임_臨.md,https://baharna.com/iching/legge/110000.htm
20,20,觀,관,8,5,000011,䷓,상경,觀：盥而不荐，有孚顒若。,관(觀) 관이부천 유부옹야(盥而不荐，有孚顒若) 관은 대야이다 자리깔개가 아니다. 믿는바가 있어 엄숙한바와 같다.,大觀在上，順而巽，中正以觀天下。觀，盥而不荐，有孚顒若，下觀而化也。觀天之神道，而四時不忒，聖人以神道設教，而天下服矣。,"큰 관(觀)이 위에 있어, 순하고 유순하며, 중정으로 천하를 본다. 관은 손 씻고 제사지내기 전이니, 믿음이 있어 우러르는 듯하면 아래가 보고 교화된다. 하늘의 신묘한 도를 보면 사시가 어긋나지 않으니, 성인이 신묘한 도로 가르침을 세워 천하가 복종한다.",風行地上，觀；先王以省方，觀民設教。,"바람이 땅 위에 붊이 관괘이니, 선왕이 이를 본받아 방주를 살피고 백성을 보아 가르침을 세운다.",01_경문_64괘/020_관_觀.md,https://baharna.com/iching/legge/000011.htm
21,21,噬嗑,서합,4,3,100101,䷔,상경,噬嗑：亨。利用獄。,서합(噬嗑)은 형(亨)하다. 이용옥(利用獄) 서합은 형(亨)하다. 옥의 사용을 얻으니 이롭다.,頤中有物，曰噬嗑，噬嗑而亨。剛柔分，動而明，雷電合而章。柔得中而上行，雖不當位，利用獄也。,"턱 가운데 물건이 있어 서합(噬嗑, 씹어 합함)이라 하니, 씹어 합하면 형통하다. 강과 유가 나뉘고, 움직여 밝으며, 우레와 번개가 합쳐 드러난다. 유가 가운데를 얻어 위로 행하니, 비록 자리가 마땅하지 않으나 송사를 다스림에 이롭다.",雷電噬嗑；先王以明罰敕法。,"우레와 번개가 서합괘니, 선왕이 이를 본받아 형벌을 밝히고 법을 바로잡는다.",01_경문_64괘/021_서합_噬嗑.md,https://baharna.com/iching/legge/100101.htm
22,22,賁,비,3,7,101001,䷕,상경,賁：亨。小利有攸往。,비(賁)는 형(亨) 소리유유왕(小利有攸往) 꾸밈은 형이다. 갈바가있음이 이로우나 작다.,賁，亨；柔來而文剛，故亨。分剛上而文柔，故小利有攸往。剛柔交錯，天文也；文明以止，人文也。觀乎天文，以察時變；觀乎人文，以化成天下。,"비(賁)는 형통하다. 유가 와서 강을 꾸미니 형통하다. 나누어 강이 위에 가서 유를 꾸미니, 작게 가는 바가 있어 이롭다. 강과 유가 서로 섞임은 하늘의 무늬(天文)요, 문명하여 그침은 사람의 무늬(人文)다. 하늘의 무늬를 보아 때의 변화를 살피고, 사람의 무늬를 보아 천하를 교화해 이룬다.",山下有火，賁；君子以明庶政，无敢折獄。,"산 아래 불이 있음이 비괘이니, 군자가 이를 본받아 여러 정사를 밝히고, 감히 송사를 결단하지 않는다.",01_경문_64괘/022_비_賁.md,https://baharna.com/iching/legge/101001.htm
23,23,剝,박,8,7,000001,䷖,상경,剝：不利。有攸往。,박(剝) 불리유유왕(不利有攸往) 박은 갈바가있으면 이롭지않다.,剝，剝也，柔變剛也。不利有攸往，小人長也。順而止之，觀象也。君子尚消息盈虛，天行也。,"박(剝)은 벗겨짐이다. 유가 강을 변하게 한다. 가는 바가 있어 이롭지 않음은, 소인이 자라기 때문이다. 순하게 그침은, 상(象)을 보는 것이다. 군자는 소멸하고 충만하고 비고 가득함을 숭상하니, 하늘의 운행이다.",山附地上，剝；上以厚下，安宅。,"산이 땅 위에 붙음이 박괘이니, 위가 이를 본받아 아래를 두텁게 하여 집을 편안히 한다.",01_경문_64괘/023_박_剝.md,https://baharna.com/iching/legge/000001.htm
24,24,復,복,4,8,100000,䷗,상경,復：亨。出入无疾，朋來无咎。反復其道，七日來復，利有攸往。,복(復) 형 출입무질 붕래무구 번복기도 칠일래부 이유유왕(亨。出入无疾，朋來无咎。反復其道，七日來復，利有攸往) 복은 형이다. 나가고들어옴에 서두름이없다. 친구가 오니 허물이없다. 그왔던길로 어렵게돌아간다. 칠일에 다시온다. 갈바가있으면 이롭다.,復亨；剛反，動而以順行，是以出入无疾，朋來无咎。反復其道，七日來復，天行也。利有攸往，剛長也。復其見天地之心乎？,"복(復)은 형통하다. 강이 돌아오니, 움직여 순하게 행한다. 이로써 나가고 들어옴에 병이 없고, 벗이 와도 허물이 없다. 그 도를 반복하여, 이레 만에 돌아옴은 하늘의 운행이다. 가는 바가 있어 이로운 것은, 강이 자라기 때문이다. 복에서 천지의 마음을 볼 수 있지 않은가!",雷在地中，復；先王以至日閉關，商旅不行，后不省方。,"우레가 땅 가운데 있음이 복괘이니, 선왕이 이를 본받아 지일(동지)에 관문을 닫고, 장사치와 나그네가 다니지 못하게 하며, 임금이 방주를 시찰하지 않는다.",01_경문_64괘/024_복_復.md,https://baharna.com/iching/legge/100000.htm
25,25,无妄,무망,4,1,100111,䷘,상경,无妄：元亨。利貞。其匪正有眚，不利有攸往。,무망(无妄) 원형 이정 기비정유구 불리유유왕 (元亨，利貞。其匪正有眚，不利有攸往) 무망은 본디 형통하는바이다. 바르면 이롭다. 그 바르지않음은 재앙이다. 갈바가있어 이롭지않다.,无妄，剛自外來，而為主於內。動而健，剛中而應，大亨以正，天之命也。其匪正有眚，不利有攸往。无妄之往，何之矣？ 天命不佑，行矣哉？,"무망(无妄)은 강이 밖에서 와서 안에서 주가 된다. 움직여 굳세며, 강이 가운데 있어 응하니, 바름으로 크게 형통함은 하늘의 명이다. 그 바르지 않으면 재앙이 있으니, 가는 바가 있어 이롭지 않다. 무망으로 감은 어디로 가겠는가? 하늘의 명이 돕지 않으니, 갈 수 있겠는가!",天下雷行，物與无妄；先王以茂對時，育萬物。,"하늘 아래 우레가 행함이니, 사물이 무망을 함께한다. 선왕이 이를 본받아 때를 두텁게 맞이하여 만물을 기른다.",01_경문_64괘/025_무망_无妄.md,https://baharna.com/iching/legge/100111.htm
26,26,大畜,대축,1,7,111001,䷙,상경,大畜：利貞，不家食吉，利涉大川。,대축(大畜) 이정 불가식길 이섭대천(利貞，不家食吉，利涉大川) 대축은 바름이 이롭다. 집안에서 먹는것이 아니니 길하다. 큰강을 건너니 이롭다.,大畜，剛健篤實輝光，日新其德，剛上而尚賢。能止健，大正也。不家食吉，養賢也。利涉大川，應乎天也。,"대축(大畜)은 강건하고 독실하며 빛나서, 날마다 그 덕을 새롭게 하고, 강이 위에 있어 어진 이를 숭상한다. 굳센 것을 멈출 수 있음은, 크게 바름이다. 집에서 먹지 않는 것이 길함은, 어진 이를 기르기 때문이다. 큰 강을 건넘이 이로운 것은, 하늘에 응하기 때문이다.",天在山中，大畜；君子以多識前言往行，以畜其德。,"하늘이 산 가운데 있음이 대축괘이니, 군자가 이를 본받아 옛말과 지난 행실을 많이 알아 덕을 쌓는다.",01_경문_64괘/026_대축_大畜.md,https://baharna.com/iching/legge/111001.htm
27,27,頤,이,4,7,100001,䷚,상경,頤：貞吉。觀頤，自求口實。,이(頤) 정길 관이 자구구실 (貞吉。觀頤，自求口實) 이는 바르니 길하다. 턱을 본다. 스스로 구실을 구한다.,頤貞吉，養正則吉也。觀頤，觀其所養也；自求口實，觀其自養也。天地養萬物，聖人養賢，以及萬民；頤之時義大矣哉！,"이(頤)는 바르면 길하다. 기름(양육)을 바르게 하면 길하다. 이를 봄은 그 기르는 바를 보는 것이다. 스스로 입의 양식을 구함은, 그 스스로 기르는 바를 보는 것이다. 천지는 만물을 기르고, 성인은 어진 이를 길러 만민에 미치니, 이의 때의 뜻이 크도다!",山下有雷，頤；君子以慎言語，節飲食。,"산 아래 우레가 있음이 이괘이니, 군자가 이를 본받아 말을 삼가고 음식을 절제한다.",01_경문_64괘/027_이_頤.md,https://baharna.com/iching/legge/100001.htm
28,28,大過,대과,5,2,011110,䷛,상경,大過：棟橈，利有攸往，亨。,대과(大過) 동요 이유유왕 형(棟橈，利有攸往，亨) 대과는 동자기둥이 구분다. 갈바가있어 이롭다. 형하다.,大過，大者過也。棟橈，本末弱也。剛過而中，巽而說行，利有攸往，乃亨。大過之時義大矣哉！,"대과(大過)는 큰 것이 지나침이다. 용마루가 휨은, 처음과 끝이 약하기 때문이다. 강이 지나쳐도 가운데 있고, 유순하고 기뻐 행하니, 가는 바가 있어 이로우면 이에 형통한다. 대과의 때의 뜻이 크도다!",澤滅木，大過。君子以獨立不懼，遯世无悶。,"못이 나무를 뒤덮음이 대과괘다. 군자가 이를 본받아 홀로 서서 두려워하지 않고, 세상을 떠나도 근심하지 않는다.",01_경문_64괘/028_대과_大過.md,https://baharna.com/iching/legge/011110.htm
