hexagram_id,line_position,line_label,yin_yang,classical_text,small_image_text,small_image_translation,korean_text
6,2,九二,yang,不克訟，歸而逋，其邑人三百戶无眚。,不克訟，歸逋竄也。自下訟上，患至掇也。,"송사에 이기지 못하여 돌아와 도망치는 것은, 아래에서 위를 송사하니 근심이 이르러 붙잡히기 때문이다.",불극송 귀이포 기읍인삼백호무생(不克訟，歸而逋，其邑人三百戶无眚) 송사를 참고견디지 않는다. 돌아오나 잡힌다. 그 마을사람 삼백호 인심을 얻으면 잘못됨은 없다.
6,3,六三,yin,食舊德，貞厲，終吉。或從王事，无成。,食舊德，從上吉也。,"옛 덕을 지킴은, 위를 따르면 길하기 때문이다.",식구덕 정려 종길(食舊德，貞厲，終吉) 혹종왕사 무성(或從王事，无成) 혹종왕사 무성(或從王事，无成) 음덕과 바름을 힘쓴다. 끝은 길하다.
6,4,九四,yang,不克訟，復即命渝，安貞吉。,復即命渝，安貞，不失也。,"명에 돌아가 바꿈은, 편안히 바르게 하여 잃지 않기 때문이다.",불극송 복즉명유 안정길(不克訟，復即命渝，安貞吉) 송사를 참고견디지 않는다 다시 복귀하여 운명을 바꿀수있다. 평안하고 바르게하면 길하다.
6,5,九五,yang,訟，元吉。,訟，元吉，以中正也。,"송사가 크게 길함은, 중정하기 때문이다.",송 원길(訟，元吉) 송사가 바라는바는 근본은 길한것이다.
6,6,上九,yang,或錫之鞶帶，終朝三褫之。,以訟受服，亦不足敬也。,"송사로써 관복을 받음은, 또한 공경할 만하지 못하기 때문이다.",혹석지반대 종조삼치지(或錫之鞶帶，終朝三褫之) 혹 가죽주머니와 띠를 얻으면 여러번끝에 그것을 취한다.
7,1,初六,yin,師出以律，否臧，凶。,師出以律；失律，凶也。,"군대가 나감에 법률을 씀은, 법률을 잃으면 흉하기 때문이다.",사출이율 부장 흉(師出以律，否臧，凶) 마땅한바를 갖추어 출사(出師)한다. 어짊이 아니면 흉하다.
7,2,九二,yang,在師中吉，无咎；王三錫命。,在師中吉，承天寵也。王三錫命，懷萬邦也。,"군대 가운데 있어 길함은, 하늘의 총애를 받기 때문이다. 왕이 세 번 명을 내림은, 만방을 품기 때문이다.","재사중길 무구 왕삼석명(在師中吉，无咎,王三錫命) 사(師)가 길함중에 있으니 허물이없다. 왕이 신뢰함을 세번 보인다."
7,3,六三,yin,師或輿尸，凶。,師或輿尸，大无功也。,"군대가 혹 시체를 수레에 싣는 것은, 큰 공이 없기 때문이다.",사역여시 흉(師或輿尸，凶) 사(師)에게 있어 혹여나 주검수레는 흉하다.
7,4,六四,yin,師左次，无咎。,左次无咎，未失常也。,"왼쪽에 머묾이 허물 없음은, 떳떳함을 잃지 않기 때문이다.",사좌차 무구(師左次，无咎) 사(師)가 좌(左)를 차(次)로 하는바를 안다. 허물이 없다.
7,5,六五,yin,田有禽，利執言，无咎。長子帥師，弟子輿尸，貞凶。,長子帥師，以中行也。弟子輿尸，使不當也。,"장자가 군대를 거느림은, 가운데로 행하기 때문이다. 아우가 시체를 싣는 것은, 부림이 마땅하지 않기 때문이다.",전유금 이집언 무구(田有禽，利執言，无咎) 장자사사 제자여시 정흉(長子帥師，弟子輿尸，貞凶) 전(田)에있는 날짐승을 조심히 잡으니 이롭다. 장자는 군사를 거느리고 아우는 주검수레를 끄니 (이러한)바름은 흉하다(한다)
7,6,上六,yin,大君有命，開國承家，小人勿用。,大君有命，以正功也。小人勿用，必亂邦也。,"큰 임금이 명이 있음은, 공을 바르게 하기 때문이다. 소인을 쓰지 말라는 것은, 반드시 나라를 어지럽히기 때문이다.",대군유명 개국승가 소인물용(大君有命，開國承家，小人勿用) 큰 임금은 (하늘의)명을 받아 나라를 열고 가업을 승계한다. 소인을 이러한 바를 쓸줄모른다.
8,1,初六,yin,有孚，比之，无咎。有孚盈缶，終來有它，吉。,比之初六，有它吉也。,"비의 초육은, 다른 길함이 있기 때문이다.",유부 비지 무구(有孚，比之，无咎) 유부영관 종래유타 길(有孚盈缶，終來有它，吉) 비교하는바로 믿음을 둔다면 허물이 없다. 충만한 믿음이 종래에는 그것에서 길함이 있다.
8,2,六二,yin,比之自內，貞吉。,比之自內，不自失也。,"안에서부터 친함은, 스스로를 잃지 않기 때문이다.",비지자내 정길(比之自內，貞吉) 그것을 비교하여 스스로 추스리니 바르고 길하다.
8,3,六三,yin,比之匪人。,比之匪人，不亦傷乎！,"마땅하지 않은 사람과 친함은, 또한 상처받지 않겠는가!",비지비인(比之匪人) 견줌에는 인정이 없다.
8,4,六四,yin,外比之，貞吉。,外比於賢，以從上也。,"밖에서 어진 이와 친함은, 위를 따르기 때문이다.",외비지 정길(外比之，貞吉) (행실이) 드러남을 고르게하니 바르고 길하다.
8,5,九五,yang,顯比。王用三驅，失前禽，邑人不誡，吉。,顯比之吉，位正中也。舍逆取順，失前禽也。邑人不誡，上使中也。,"비를 드러냄의 길함은, 자리가 바르고 가운데 있기 때문이다. 거스르는 것을 버리고 순종하는 것을 취하니 앞의 새를 놓치는 것이다. 마을 사람이 경계하지 않는 것은, 위가 가운데를 쓰게 하기 때문이다.","현비 왕용삼구실전금읍인불성 길(顯比, 王用三驅 失前禽 邑人不誡，吉) 비교하여 분명히 하니 왕이 쓰는바요, 사방중에 세방향에서 몰아갈때 앞에서 날아오는 날짐승은 놓아주어도 마을 사람은 (의심하여)살피지않으니 길하다."
8,6,上六,yin,比之无首，凶。,比之无首，无所終也。,"친함에 머리가 없음은, 마칠 바가 없기 때문이다.",비지무수 흉(比之无首，凶) 두서없이 그것을 비교하는것은 흉이다.
9,1,初九,yang,復自道，何其咎，吉。,復自道，其義吉也。,"제 도로 돌아감은, 그 뜻이 길하기 때문이다.",복자도 하기구 길(復自道，何其咎，吉) 다시 제자리를 찾아가니 어찌 그것이 허물이겠는가? 길하다.
9,2,九二,yang,牽復，吉。,牽復在中，亦不自失也。,"가운데서 이끌려 돌아옴은, 또한 스스로를 잃지 않기 때문이다.",견복 길(牽復，吉) 다시 이끄니 길하다.
9,3,九三,yang,輿說輻，夫妻反目。,夫妻反目，不能正室也。,"부부가 반목함은, 집을 바르게 하지 못하기 때문이다.",여탈폭 부처반목(輿說輻，夫妻反目) 수레가 바퀴를 벗으니 부부가 반목한다.
9,4,六四,yin,有孚，血去惕出，无咎。,有孚。惕出。上合志也。,"믿음이 있어 두려움이 나감은, 위와 뜻이 합하기 때문이다.",유부 혈거척출 무구(有孚，血去惕出，无咎) 믿음으로 피가 제거되고 두려움이 사라진다. 허물이없다.
9,5,九五,yang,有孚攣如，富以其鄰。,有孚攣如，不獨富也。,"믿음이 이어진 듯함은, 혼자 부유하지 않기 때문이다.",유부거여 부이기린(有孚攣如，富以其鄰) 믿음이 매이다. 그 이웃으로써 가멸다.
9,6,上九,yang,既雨既處，尚德載，婦貞厲，月幾望，君子征凶。,既雨既處，德積載也。君子征凶，有所疑也。,"이미 비가 오고 이미 머묾은, 덕이 쌓여 실리기 때문이다. 군자가 가면 흉함은, 의심할 바가 있기 때문이다.",이우기처 상덕재 부정려 월기망 군자정흉(既雨既處，尚德載，婦貞厲，月幾望，君子征凶) 이미 비가 곳곳에 내리니 덕을 기리기 시작하고 여자는 바름을 힘쓰며 달은 희망이며 군자는 흉을 정벌한다.
10,1,初九,yang,素履，往无咎。,素履之往，獨行願也。,"본디 밟음으로 감은, 홀로 뜻대로 행하기 때문이다.","소리 왕무구(素履, 往无咎) 본디 밟는바는 가는바이니 허물은 없다."
10,2,九二,yang,履道坦坦，幽人貞吉。,幽人貞吉，中不自亂也。,"은자가 바르고 길함은, 가운데 있어 스스로 어지럽히지 않기 때문이다.",이도탄탄 유인정길(履道坦坦，幽人貞吉) 밟는 길이 탄탄하다. 유인(幽人)인 바르고 길하다.
10,3,六三,yin,眇能視，跛能履，履虎尾，咥人，凶。武人為于大君。,眇能視，不足以有明也。跛能履，不足以與行也。咥人之凶，位不當也。武人為于大君，志剛也。,"외눈으로 볼 수 있음은, 밝음을 온전히 갖추지 못함이다. 절뚝이로 걸을 수 있음은, 함께 행함에 부족함이다. 사람을 무는 흉함은, 자리가 마땅하지 않기 때문이다. 무인이 대군을 위함은, 뜻이 굳세기 때문이다.",묘능시 파능이 이호미 질인 흉(眇能視，跛能履，履虎尾，咥人，凶) 무인위어대군(武人為于大君) 외눈이라도 볼수있고 다리를 절어도 밟을수있다. 호랑이 꼬리를 밟으니 사람을 문다. 흉하다. 무인이 대군이 된다.
10,4,九四,yang,履虎尾，愬愬終吉。,愬愬終吉，志行也。,"두렵고 두려워 끝이 길함은, 뜻이 행해지기 때문이다.",이호미 색색종길(履虎尾，愬愬終吉) 호랑이 꼬리를 밟으나 두렵고두려우니 끝은 길하다.
10,5,九五,yang,夬履，貞厲。,夬履貞厲，位正當也。,"터놓고 밟아 바르나 위태로움은, 자리가 바르고 마땅하기 때문이다.",쾌리 정려(夬履，貞厲) 터놓고 밟는다. 바름을 힘쓴다.
10,6,上九,yang,視履考祥，其旋元吉。,元吉在上，大有慶也。,"크게 길함이 위에 있음은, 크게 경사가 있기 때문이다.",시리고상 기선원길(視履考祥，其旋元吉) 밟은바를 참고하고 조짐을 살핀다. 그 돌이키는바가 길하다.
11,1,初九,yang,拔茅茹以其彙，征吉。,拔茅征吉，志在外也。,"띠풀을 뽑아 가면 길함은, 뜻이 밖에 있기 때문이다.","발모여이기휘 정길(拔茅茹以其彙征,吉) 띠풀을 뜨으니 그들이 뭉쳐있는바로 취해진다. 길하다."
11,2,九二,yang,包荒。用馮河，不遐遺；朋亡。得尚于中行。,包荒，得尚于中行，以光大也。,"거친 것을 포용해 가운데 행함에 높임을 받음은, 빛나고 크기 때문이다.",포황(包荒) 용빙하 불하유붕망 득상우중행(用馮河，不遐遺朋亡 得尚于中行) 거칢을 포용한다. 강을 건너는바가 있다. 머지않아 친구가 업신여김 당함을 따른다. 가운데에서 행함에 높임을 받는다.
11,3,九三,yang,无平不陂，无往不復，艱貞无咎。勿恤其孚，于食有福。,无往不復，天地際也。,"가지 않아 돌아오지 않음이 없음은, 하늘과 땅의 접경이기 때문이다.",무평불피 무왕불복 간정무구(无平不陂，无往不復，艱貞无咎) 물휼기부 우식유복(勿恤其孚，于食有福) 평평함이 없으면 기울일수가 없고 가지않으면 돌아올바가 없다. 어렵게 바르니 허물이 없다. 그 믿는바를 근심하지말라 먹음에 복이있다.
11,4,六四,yin,翩翩，不富以其鄰；不戒以孚。,翩翩不富，皆失實也。不戒以孚，中心願也。,"펄럭이며 부유하지 않음은, 모두 실질을 잃었기 때문이다. 믿음으로 경계하지 않음은, 마음속 원함이기 때문이다.","편편 불부이기린 불계이부(翩翩，不富以其鄰, 不戒以孚) 펄럭펄럭 나부낌은 그이웃으로 부유하지않음이니 믿음으로 경계하지않은바이다."
11,5,六五,yin,帝乙歸妹，以祉，元吉。,以祉，元吉。中以行願也。,"복으로 크게 길함은, 가운데로 뜻을 행하기 때문이다.",제을귀매이사 원길(帝乙歸妹以祉，元吉) 제을은 하늘이 내리는 행복으로 누이를 시집보낸다. 본디 길하다.
11,6,上六,yin,城復于隍，勿用師，自邑告命，貞吝。,城復于隍，其命亂也。,"성이 해자에 무너져 돌아감은, 그 명이 어지럽기 때문이다.",성부우황 물용사 자읍고명 정린(城復于隍，勿用師，自邑告命，貞吝) 성은 해자로 겹겹이다. 군사를 쓰지않는다. 스스로 아첨하여 명을 청한다. 곧음이 인색하다.
12,1,初六,yin,拔茅茹以其彙，貞吉。亨。,拔茅貞吉，志在君也。,"띠풀을 뽑아 바르면 길함은, 뜻이 임금에게 있기 때문이다.",발모여이기휘 정길형(拔茅茹以其彙，貞吉亨) 모여서 뭉친 덩어리진 띠풀을 뽑는다. 바르니 길하고 형통하다.
12,2,六二,yin,包承，小人吉，大人否。亨。,大人否，亨。不亂羣也。,"대인이 막혀도 형통함은, 무리를 어지럽히지 않기 때문이다.",포승 소인길 대인비형(包承，小人吉，大人否亨) 이어짐을 포용한다. 소인은 길하고 대인은 막히나 (장차) 형통한다.
12,3,六三,yin,包羞。,包羞，位不當也。,"부끄러움을 품음은, 자리가 마땅하지 않기 때문이다.",포수(包羞) 부끄러움을 포용한다.
12,4,九四,yang,有命，无咎，疇離祉。,有命无咎，志行也。,"명이 있어 허물이 없음은, 뜻이 행해지기 때문이다.",유명 무구 주리지(有命，无咎，疇離祉) 생명을 보존하니 허물은 없다. 무리가 그 복에 달라붙는다.
12,5,九五,yang,休否，大人吉。其亡其亡，繫于苞桑。,大人之吉，位正當也。,"대인의 길함은, 자리가 바르고 마땅하기 때문이다.",휴비 대인길 기망기망 계우포상(休否，大人吉。其亡其亡，繫于苞桑) 막힘도 쉬어간다. 대인이 길함이 어찌 망하겠는가 어찌망하겠는가. 뽕나무를 싸맨다.
12,6,上九,yang,傾否，先否後喜。,否終則傾，何可長也。,"비가 끝나면 기울어짐은, 어찌 오래갈 수 있겠는가.",경부 선부후희(傾否，先否後喜) 기울어짐이 그친다. 먼저가 막힘이고 나중이 즐거워짐이다.
13,1,初九,yang,同人于門，無咎。,出門同人，又誰咎也。,"문을 나서서 사람과 함께함은, 또 누가 허물하겠는가.",동인우문 무구(同人于門，無咎) 문에서 동인을 만나다. 허물이 없다.
13,2,六二,yin,同人于宗，吝。,同人于宗，吝道也。,"일가(宗)와만 함께함은, 부끄러움의 도이다.",동인우종 린(同人于宗，吝) 유유상종하니 인색하다.
13,3,九三,yang,伏戎于莽，升其高陵，三歲不興。,伏戎于莽，敵剛也。三歲不興，安行也。,"풀숲에 군사를 숨김은, 강적을 상대하기 때문이다. 삼 년을 일으키지 못함은, 어찌 행하겠는가.",복벌우장 승기고릉 삼세불여(伏戎于莽，升其高陵，三歲不興) 광활한 숲에 오랑캐가 숨어있으니 그 고지(高地)를 점한다. 여러해동안 일어남이없다.
13,4,九四,yang,乘其墉，弗克，攻吉。,乘其墉，義弗克也，其吉，則困而反則也。,"성을 타고 오름은, 의리상 이기지 못하니, 그 길함은 곤하여 법칙으로 돌아가기 때문이다.",승기고 불극 공길(乘其墉，弗克，攻吉) 담장을 넘으려고하나 이김을 근심한다. 공격하면 길하다.
13,5,九五,yang,同人，先號啕而后笑。大師克相遇。,同人之先，以中直也。大師相遇，言相克也。,"동인이 먼저인 것은, 가운데 곧기 때문이다. 큰 군대가 서로 만남은, 서로 이김을 말한다.",동인 선호도이후소 대사극상우(同人，先號啕而后笑。大師克相遇) 동인이 시작은 울부짖으나 뒤에는 웃는다. 큰 군사가 서로만나 다툰다.
13,6,上九,yang,同人于郊，無悔。,同人于郊，志未得也。,"들판에서 함께함은, 뜻을 아직 얻지 못했기 때문이다.",동인우교 무회(同人于郊，無悔) 동인이 밖에서 만난다. 후회가 없다.
14,1,初九,yang,无交害，匪咎，艱則无咎。,大有初九，无交害也。,"대유의 초구는, 해를 주고받지 않기 때문이다.",무교해 비구 난즉무구(无交害，匪咎，艱則无咎) 서로 해가없다. 허물이 아니다. 어려워도 허물없다.
14,2,九二,yang,大車以載，有攸往，无咎。,大車以載，積中不敗也。,"큰 수레로 실음은, 가운데 쌓아 패하지 않기 때문이다.",대거이재 유유왕 무구(大車以載，有攸往，无咎) 큰수레에 적재한다. 갈바가있다. 허물이없다.
14,3,九三,yang,公用亨于天子，小人弗克。,公用亨于天子，小人害也。,"공이 천자에게 바침은, 소인은 해롭기 때문이다.",공용형우천자 소인불극(公用亨于天子，小人弗克) 공용은 천자에게 통한다. 소인은 그러하지 않다.
14,4,九四,yang,匪其彭，无咎。,匪其彭，无咎；明辨晰也。,"번성함이 아님은 허물이 없으니, 밝게 분별함이 또렷하기 때문이다.",비기팽 무구(匪其彭，无咎) 그 팽팽함이 아니다. 허물이없다.
14,5,六五,yin,厥孚交如，威如；吉。,厥孚交如，信以發志也。威如之吉，易而无備也。,"그 믿음이 사귐은, 믿음으로 뜻을 발하기 때문이다. 위엄이 있는 길함은, 화평하여 방비하지 않기 때문이다.","궐부교여 위여 길(厥孚交如，威如,吉) 그믿음이 서로 사귐과 같다. 위엄이있다. 길하다."
14,6,上九,yang,自天佑之，吉无不利。,大有上吉，自天佑也。,"대유의 위가 길함은, 하늘로부터 도움을 받기 때문이다.",자천우지 길무불리(自天佑之，吉无不利) 하늘은 스스로 돕는자를 돕는다. 길하고 이롭지않은바가없다.
15,1,初六,yin,謙謙君子，用涉大川，吉。,謙謙君子，卑以自牧也。,"겸손하고 겸손한 군자는, 낮은 데로 스스로를 기르기 때문이다.","겸겸군자 용섭대천 길(謙謙君子，用涉大川，吉) 겸손하도다 군자여, 큰강을 건너니 길하다."
15,2,六二,yin,鳴謙，貞吉。,鳴謙貞吉，中心得也。,"겸손을 알리고 바르고 길함은, 마음속에 얻음이 있기 때문이다.",명겸 정길(鳴謙，貞吉) 겸손함이 드러나니 바르고 길하다.
15,3,九三,yang,勞謙君子，有終吉。,勞謙君子，萬民服也。,"수고하며 겸손한 군자에게, 만민이 복종하기 때문이다.",노겸군자 유종길(勞謙君子，有終吉) 힘써 겸손한 군자는 끝이있고 길하다.
15,4,六四,yin,无不利，撝謙。,无不利撝謙；不違則也。,"겸손을 펼침에 이롭지 않음이 없는 것은, 법칙을 어기지 않기 때문이다.",무불리 위겸(无不利，撝謙) 이롭지않은바가없다. 겸손을 돕는바이다.
15,5,六五,yin,不富，以其鄰，利用侵伐，无不利。,利用侵伐，征不服也。,"쳐들어감이 이로움은, 복종하지 않는 것을 정벌하기 때문이다.","불부 이기린 이용침벌 무불리(不富, 以其鄰 利用侵伐，无不利) 부유하지않다. 그 이웃과 더불어 침벌함이 이롭다. 이롭지않은바가없다."
15,6,上六,yin,鳴謙，利用行師，征邑國。,鳴謙，志未得也。可用行師，征邑國也。,"겸손을 알림은, 뜻을 아직 얻지 못했기 때문이다. 군사를 쓸 수 있음은, 읍국을 정벌하기 때문이다.",명겸 이용행사 정읍국(鳴謙，利用行師，征邑國) 겸손함이 울리니 군사를 행함이 이롭다. 고을과 나라를 정벌한다.
16,1,初六,yin,鳴豫，凶。,初六鳴豫，志窮凶也。,"초육이 예(즐거움)를 알림은, 뜻이 다해 흉하기 때문이다.",명예 흉(鳴豫，凶) 울우니 예상하면 흉하다.
